id,isResult,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,datetime,forecast.w,forecast.d,forecast.l
12403,TRUE,117,Bayern Munich,BAY,122,Hertha Berlin,HER,2,2,2.47707,1.18459,2019-08-16 19:30:00,0.7206,0.1958,0.0836
12404,TRUE,123,Werder Bremen,WER,233,Fortuna Duesseldorf,FOR,1,3,2.0112,1.01536,2019-08-17 14:30:00,0.6236,0.2279,0.1485
12405,TRUE,135,Freiburg,FRE,125,Mainz 05,MAI,3,0,1.88401,0.784216,2019-08-17 14:30:00,0.6829,0.2087,0.1084
12406,TRUE,129,Borussia Dortmund,DOR,121,Augsburg,AUG,5,1,3.25906,0.904482,2019-08-17 14:30:00,0.8839,0.0876,0.0285
12407,TRUE,119,Bayer Leverkusen,LEV,205,Paderborn,PAD,3,2,2.47615,1.20475,2019-08-17 14:30:00,0.731,0.1972,0.0718
12408,TRUE,131,Wolfsburg,WOL,134,FC Cologne,COL,2,1,0.9793,0.662001,2019-08-17 14:30:00,0.4219,0.3539,0.2242
12409,TRUE,130,Borussia M.Gladbach,BMG,124,Schalke 04,SCH,0,0,1.43141,0.760773,2019-08-17 17:30:00,0.5547,0.2717,0.1736
12410,TRUE,132,Eintracht Frankfurt,EIN,120,Hoffenheim,HOF,1,0,1.8214,0.634831,2019-08-18 14:30:00,0.7078,0.2046,0.0876
12411,TRUE,240,Union Berlin,UNI,136,RasenBallsport Leipzig,RBL,0,4,0.782907,3.93387,2019-08-18 17:00:00,0.0132,0.0368,0.95
12412,TRUE,134,FC Cologne,COL,129,Borussia Dortmund,DOR,1,3,0.937461,2.08181,2019-08-23 19:30:00,0.1045,0.2058,0.6897
12413,TRUE,205,Paderborn,PAD,135,Freiburg,FRE,1,3,1.81166,2.38424,2019-08-24 14:30:00,0.2365,0.2262,0.5373
12414,TRUE,120,Hoffenheim,HOF,123,Werder Bremen,WER,3,2,1.05096,0.841426,2019-08-24 14:30:00,0.4031,0.3288,0.2681
12415,TRUE,233,Fortuna Duesseldorf,FOR,119,Bayer Leverkusen,LEV,1,3,1.12017,1.82469,2019-08-24 14:30:00,0.1953,0.2461,0.5586
12416,TRUE,125,Mainz 05,MAI,130,Borussia M.Gladbach,BMG,1,3,1.81289,2.09431,2019-08-24 14:30:00,0.3105,0.2359,0.4536
12417,TRUE,121,Augsburg,AUG,240,Union Berlin,UNI,1,1,1.37579,0.891198,2019-08-24 14:30:00,0.4884,0.3129,0.1987
12418,TRUE,124,Schalke 04,SCH,117,Bayern Munich,BAY,0,3,1.08016,1.59729,2019-08-24 17:30:00,0.2075,0.2753,0.5172
12419,TRUE,136,RasenBallsport Leipzig,RBL,132,Eintracht Frankfurt,EIN,2,1,1.77604,0.935237,2019-08-25 14:30:00,0.6109,0.2393,0.1498
12420,TRUE,122,Hertha Berlin,HER,131,Wolfsburg,WOL,0,3,0.936557,1.33245,2019-08-25 17:00:00,0.2245,0.3142,0.4613
12421,TRUE,130,Borussia M.Gladbach,BMG,136,RasenBallsport Leipzig,RBL,1,3,1.4586,3.13131,2019-08-30 19:30:00,0.0754,0.1511,0.7735
12422,TRUE,131,Wolfsburg,WOL,205,Paderborn,PAD,1,1,0.996067,0.492299,2019-08-31 14:30:00,0.497,0.3343,0.1687
12423,TRUE,135,Freiburg,FRE,134,FC Cologne,COL,1,2,0.838391,1.62928,2019-08-31 14:30:00,0.136,0.2447,0.6193
12424,TRUE,124,Schalke 04,SCH,122,Hertha Berlin,HER,3,0,1.16546,0.771094,2019-08-31 14:30:00,0.4742,0.3152,0.2106
12425,TRUE,117,Bayern Munich,BAY,125,Mainz 05,MAI,6,1,3.34597,0.72047,2019-08-31 14:30:00,0.9165,0.0653,0.0182
12426,TRUE,119,Bayer Leverkusen,LEV,120,Hoffenheim,HOF,0,0,0.936475,0.450548,2019-08-31 14:30:00,0.4701,0.3677,0.1622
12427,TRUE,240,Union Berlin,UNI,129,Borussia Dortmund,DOR,3,1,1.4209,1.60213,2019-08-31 17:30:00,0.2902,0.3058,0.404
12428,TRUE,123,Werder Bremen,WER,121,Augsburg,AUG,3,2,2.46951,1.48072,2019-09-01 14:30:00,0.6335,0.223,0.1435
12429,TRUE,132,Eintracht Frankfurt,EIN,233,Fortuna Duesseldorf,FOR,2,1,1.75705,0.759809,2019-09-01 17:00:00,0.65,0.2266,0.1234
12430,TRUE,233,Fortuna Duesseldorf,FOR,131,Wolfsburg,WOL,1,1,0.679763,2.28602,2019-09-13 18:30:00,0.0539,0.1372,0.8089
12431,TRUE,125,Mainz 05,MAI,122,Hertha Berlin,HER,2,1,1.1162,2.07839,2019-09-14 13:30:00,0.1585,0.2323,0.6092
12432,TRUE,121,Augsburg,AUG,132,Eintracht Frankfurt,EIN,2,1,1.58878,0.899696,2019-09-14 13:30:00,0.5617,0.2518,0.1865
12433,TRUE,134,FC Cologne,COL,130,Borussia M.Gladbach,BMG,0,1,0.841764,1.55336,2019-09-14 13:30:00,0.1761,0.2557,0.5682
12434,TRUE,240,Union Berlin,UNI,123,Werder Bremen,WER,1,2,1.98106,2.14722,2019-09-14 13:30:00,0.3166,0.2848,0.3986
12435,TRUE,129,Borussia Dortmund,DOR,119,Bayer Leverkusen,LEV,4,0,3.23112,1.14812,2019-09-14 13:30:00,0.8574,0.1039,0.0387
12436,TRUE,136,RasenBallsport Leipzig,RBL,117,Bayern Munich,BAY,1,1,1.65427,1.6704,2019-09-14 16:30:00,0.3661,0.265,0.3689
12437,TRUE,120,Hoffenheim,HOF,135,Freiburg,FRE,0,3,1.10385,1.78643,2019-09-15 13:30:00,0.2205,0.2374,0.5421
12438,TRUE,205,Paderborn,PAD,124,Schalke 04,SCH,1,5,1.39508,1.9184,2019-09-15 16:00:00,0.2442,0.2595,0.4963
12439,TRUE,124,Schalke 04,SCH,125,Mainz 05,MAI,2,1,0.873048,0.985151,2019-09-20 18:30:00,0.3071,0.3177,0.3752
12440,TRUE,122,Hertha Berlin,HER,205,Paderborn,PAD,2,1,0.983173,1.89015,2019-09-21 13:30:00,0.1479,0.2316,0.6205
12441,TRUE,135,Freiburg,FRE,121,Augsburg,AUG,1,1,1.70133,0.884946,2019-09-21 13:30:00,0.5992,0.2461,0.1547
12442,TRUE,117,Bayern Munich,BAY,134,FC Cologne,COL,4,0,2.92351,1.03267,2019-09-21 13:30:00,0.8058,0.1282,0.066
12443,TRUE,119,Bayer Leverkusen,LEV,240,Union Berlin,UNI,2,0,1.55742,0.125413,2019-09-21 13:30:00,0.7868,0.1901,0.0231
12444,TRUE,123,Werder Bremen,WER,136,RasenBallsport Leipzig,RBL,0,3,0.583174,1.72557,2019-09-21 16:30:00,0.0911,0.2219,0.687
12445,TRUE,130,Borussia M.Gladbach,BMG,233,Fortuna Duesseldorf,FOR,2,1,4.2854,1.27666,2019-09-22 13:30:00,0.9147,0.058,0.0273
