id,isResult,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,datetime,forecast.w,forecast.d,forecast.l
461,TRUE,91,Hull,HUL,75,Leicester,LEI,2,1,0.740018,2.45631,2016-08-13 15:30:00,0.0538,0.1247,0.8215
462,TRUE,78,Crystal Palace,CRY,76,West Bromwich Albion,WBA,0,1,0.990062,0.684593,2016-08-13 18:00:00,0.4295,0.3356,0.2349
463,TRUE,72,Everton,EVE,82,Tottenham,TOT,1,1,0.790063,1.12348,2016-08-13 18:00:00,0.2313,0.3322,0.4365
464,TRUE,92,Burnley,BUR,84,Swansea,SWA,0,1,1.04903,1.72089,2016-08-13 18:00:00,0.1626,0.2888,0.5486
465,TRUE,93,Middlesbrough,MID,85,Stoke,STO,1,1,1.80523,0.485626,2016-08-13 18:00:00,0.7885,0.1624,0.0491
466,TRUE,74,Southampton,SOU,90,Watford,WAT,1,1,0.937328,0.180046,2016-08-13 18:00:00,0.5425,0.3917,0.0658
467,TRUE,88,Manchester City,MCI,77,Sunderland,SUN,2,1,1.95479,1.09877,2016-08-13 20:30:00,0.598,0.2506,0.1514
468,TRUE,73,Bournemouth,BOU,89,Manchester United,MUN,1,3,0.522847,1.91105,2016-08-14 16:30:00,0.0548,0.159,0.7862
469,TRUE,83,Arsenal,ARS,87,Liverpool,LIV,3,4,1.18197,1.6591,2016-08-14 19:00:00,0.2393,0.2859,0.4748
470,TRUE,80,Chelsea,CHE,81,West Ham,WHU,2,1,1.4603,0.445604,2016-08-15 23:00:00,0.6858,0.2362,0.078
471,TRUE,89,Manchester United,MUN,74,Southampton,SOU,2,0,1.36553,0.613233,2016-08-19 23:00:00,0.6019,0.2712,0.1269
472,TRUE,85,Stoke,STO,88,Manchester City,MCI,1,4,1.31066,2.17198,2016-08-20 15:30:00,0.1427,0.2554,0.6019
473,TRUE,92,Burnley,BUR,87,Liverpool,LIV,2,0,0.197536,0.939025,2016-08-20 18:00:00,0.0721,0.373,0.5549
474,TRUE,84,Swansea,SWA,91,Hull,HUL,0,2,1.14134,2.18655,2016-08-20 18:00:00,0.135,0.2041,0.6609
475,TRUE,82,Tottenham,TOT,78,Crystal Palace,CRY,1,0,2.25623,0.357943,2016-08-20 18:00:00,0.8706,0.1053,0.0241
476,TRUE,90,Watford,WAT,80,Chelsea,CHE,1,2,0.804549,1.75595,2016-08-20 18:00:00,0.1078,0.2467,0.6455
477,TRUE,76,West Bromwich Albion,WBA,72,Everton,EVE,1,2,2.01885,1.83897,2016-08-20 18:00:00,0.3984,0.2562,0.3454
478,TRUE,75,Leicester,LEI,83,Arsenal,ARS,0,0,0.553693,0.521509,2016-08-20 20:30:00,0.2918,0.4486,0.2596
479,TRUE,77,Sunderland,SUN,93,Middlesbrough,MID,1,2,1.4645,0.854908,2016-08-21 16:30:00,0.5193,0.2957,0.185
480,TRUE,81,West Ham,WHU,73,Bournemouth,BOU,1,0,1.69288,0.39341,2016-08-21 19:00:00,0.7472,0.1962,0.0566
481,TRUE,82,Tottenham,TOT,87,Liverpool,LIV,1,1,0.590511,1.92569,2016-08-27 15:30:00,0.0672,0.1704,0.7624
482,TRUE,90,Watford,WAT,83,Arsenal,ARS,1,3,1.07775,2.03271,2016-08-27 18:00:00,0.1375,0.2184,0.6441
483,TRUE,75,Leicester,LEI,84,Swansea,SWA,2,1,2.47977,0.32818,2016-08-27 18:00:00,0.9129,0.0717,0.0154
484,TRUE,74,Southampton,SOU,77,Sunderland,SUN,1,1,0.613743,1.39142,2016-08-27 18:00:00,0.1211,0.2572,0.6217
485,TRUE,80,Chelsea,CHE,92,Burnley,BUR,3,0,2.65838,0.18449,2016-08-27 18:00:00,0.9265,0.0623,0.0112
486,TRUE,78,Crystal Palace,CRY,73,Bournemouth,BOU,1,1,2.659,0.974014,2016-08-27 18:00:00,0.7804,0.1446,0.075
487,TRUE,72,Everton,EVE,85,Stoke,STO,1,0,2.31835,0.187415,2016-08-27 18:00:00,0.9114,0.0778,0.0108
488,TRUE,91,Hull,HUL,89,Manchester United,MUN,0,1,0.268815,2.47208,2016-08-27 20:30:00,0.0115,0.0622,0.9263
489,TRUE,76,West Bromwich Albion,WBA,93,Middlesbrough,MID,0,0,0.696845,0.396816,2016-08-28 16:30:00,0.383,0.4435,0.1735
490,TRUE,88,Manchester City,MCI,81,West Ham,WHU,3,1,3.21624,1.08385,2016-08-28 19:00:00,0.8305,0.1137,0.0558
491,TRUE,89,Manchester United,MUN,88,Manchester City,MCI,1,2,1.01013,1.88688,2016-09-10 15:30:00,0.1589,0.2351,0.606
492,TRUE,93,Middlesbrough,MID,78,Crystal Palace,CRY,1,2,0.611959,1.12437,2016-09-10 18:00:00,0.1752,0.317,0.5078
493,TRUE,85,Stoke,STO,82,Tottenham,TOT,0,4,1.01771,2.77025,2016-09-10 18:00:00,0.0711,0.1311,0.7978
494,TRUE,83,Arsenal,ARS,74,Southampton,SOU,2,1,1.89219,1.17522,2016-09-10 18:00:00,0.5518,0.2623,0.1859
495,TRUE,73,Bournemouth,BOU,76,West Bromwich Albion,WBA,1,0,0.986511,1.48347,2016-09-10 18:00:00,0.2038,0.287,0.5092
496,TRUE,92,Burnley,BUR,91,Hull,HUL,1,1,0.453149,0.907116,2016-09-10 18:00:00,0.1647,0.3618,0.4735
