id,isResult,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,datetime,forecast.w,forecast.d,forecast.l
12709,TRUE,171,Monaco,MON,178,Lyon,LYO,0,3,0.563183,0.833034,2019-08-09 19:45:00,0.2187,0.3862,0.3951
12710,TRUE,164,Marseille,MAR,177,Reims,REI,0,2,0.874557,1.2983,2019-08-10 16:30:00,0.2383,0.2938,0.4679
12711,TRUE,241,Brest,BRE,174,Toulouse,TOU,1,1,2.32973,1.42777,2019-08-10 19:00:00,0.612,0.2288,0.1592
12712,TRUE,166,Montpellier,MPL,163,Rennes,REN,0,1,2.56158,1.17033,2019-08-10 19:00:00,0.7229,0.1784,0.0987
12713,TRUE,170,Nice,NIC,224,Amiens,AMI,2,1,1.86828,0.604143,2019-08-10 19:00:00,0.7341,0.1947,0.0712
12714,TRUE,167,Angers,ANG,176,Bordeaux,BOR,3,1,1.52399,1.29511,2019-08-10 19:00:00,0.4118,0.2805,0.3077
12715,TRUE,181,Dijon,DJN,175,Saint-Etienne,SEN,1,2,2.15127,0.916517,2019-08-10 19:00:00,0.7057,0.1917,0.1026
12716,TRUE,160,Lille,LIL,168,Nantes,NAN,2,1,1.20625,0.5183,2019-08-11 14:00:00,0.5538,0.2981,0.1481
12717,TRUE,225,Strasbourg,STR,180,Metz,MET,1,1,1.60857,0.252178,2019-08-11 16:00:00,0.766,0.1916,0.0424
12718,TRUE,161,Paris Saint Germain,PSG,235,Nimes,NIM,3,0,3.61599,0.305387,2019-08-11 20:00:00,0.9782,0.0194,0.0024
12719,TRUE,178,Lyon,LYO,167,Angers,ANG,6,0,1.49515,0.347737,2019-08-16 19:45:00,0.7215,0.215,0.0635
12720,TRUE,168,Nantes,NAN,164,Marseille,MAR,0,0,0.333103,1.34033,2019-08-17 16:30:00,0.058,0.2235,0.7185
12721,TRUE,224,Amiens,AMI,160,Lille,LIL,1,0,1.07254,0.293318,2019-08-17 19:00:00,0.6327,0.2934,0.0739
12722,TRUE,176,Bordeaux,BOR,166,Montpellier,MPL,1,1,0.785876,0.683431,2019-08-17 19:00:00,0.3363,0.3704,0.2933
12723,TRUE,235,Nimes,NIM,170,Nice,NIC,1,2,1.26223,2.00012,2019-08-17 19:00:00,0.1476,0.2626,0.5898
