id,isResult,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,datetime,forecast.w,forecast.d,forecast.l
931,TRUE,95,Roma,ROM,99,Udinese,UDI,4,0,5.74878,0.517156,2016-08-20 20:00:00,0.9973,0.0025,0.0002
932,TRUE,98,Juventus,JUV,110,Fiorentina,FIO,2,1,1.5603,0.244198,2016-08-20 22:45:00,0.754,0.2033,0.0427
933,TRUE,111,AC Milan,MIL,113,Torino,TOR,3,2,2.5953,1.74508,2016-08-21 20:00:00,0.6062,0.2051,0.1887
934,TRUE,100,Palermo,PAL,104,Sassuolo,SAS,0,1,0.351218,1.67953,2016-08-21 22:45:00,0.05,0.1812,0.7688
935,TRUE,114,Pescara,PES,105,Napoli,NAP,2,2,1.08269,1.41716,2016-08-21 22:45:00,0.261,0.2988,0.4402
936,TRUE,107,Atalanta,ATA,96,Lazio,LAZ,3,4,1.54669,1.80658,2016-08-21 22:45:00,0.2829,0.2712,0.4459
937,TRUE,97,Bologna,BOL,115,Crotone,CRO,1,0,1.73535,0.38438,2016-08-21 22:45:00,0.7436,0.1942,0.0622
938,TRUE,109,Chievo,CHI,106,Inter,INT,2,0,0.778083,1.01715,2016-08-21 22:45:00,0.2581,0.3366,0.4053
939,TRUE,108,Empoli,EMP,102,Sampdoria,SAM,0,1,0.934821,1.04646,2016-08-21 22:45:00,0.3074,0.3325,0.3601
940,TRUE,101,Genoa,GEN,116,Cagliari,CAG,3,1,1.52666,0.912546,2016-08-21 22:45:00,0.5158,0.2761,0.2081
941,TRUE,96,Lazio,LAZ,98,Juventus,JUV,0,1,0.16672,0.614088,2016-08-27 20:00:00,0.0878,0.4965,0.4157
942,TRUE,105,Napoli,NAP,111,AC Milan,MIL,4,2,2.78103,0.804413,2016-08-27 22:45:00,0.8796,0.0929,0.0275
943,TRUE,106,Inter,INT,100,Palermo,PAL,1,1,1.94441,0.544244,2016-08-28 20:00:00,0.7401,0.1886,0.0713
944,TRUE,102,Sampdoria,SAM,107,Atalanta,ATA,2,1,0.933904,0.314303,2016-08-28 22:45:00,0.6014,0.3189,0.0797
945,TRUE,104,Sassuolo,SAS,114,Pescara,PES,2,1,0.54343,1.45854,2016-08-28 22:45:00,0.0793,0.2373,0.6834
946,TRUE,113,Torino,TOR,97,Bologna,BOL,5,1,4.22894,0.532401,2016-08-28 22:45:00,0.9775,0.0184,0.0041
947,TRUE,99,Udinese,UDI,108,Empoli,EMP,2,0,0.912097,1.18302,2016-08-28 22:45:00,0.2623,0.3153,0.4224
948,TRUE,116,Cagliari,CAG,95,Roma,ROM,2,2,1.76368,2.92514,2016-08-28 22:45:00,0.1564,0.1909,0.6527
949,TRUE,115,Crotone,CRO,101,Genoa,GEN,1,3,1.02444,2.39624,2016-08-28 22:45:00,0.0806,0.1828,0.7366
950,TRUE,110,Fiorentina,FIO,109,Chievo,CHI,1,0,0.763552,0.795506,2016-08-28 22:45:00,0.2908,0.3594,0.3498
951,TRUE,98,Juventus,JUV,104,Sassuolo,SAS,3,1,3.29973,0.835114,2016-09-10 20:00:00,0.8991,0.0737,0.0272
952,TRUE,100,Palermo,PAL,105,Napoli,NAP,0,3,0.58528,1.89333,2016-09-10 22:45:00,0.0758,0.1983,0.7259
953,TRUE,97,Bologna,BOL,116,Cagliari,CAG,2,1,1.75506,0.916015,2016-09-11 14:30:00,0.6061,0.2472,0.1467
954,TRUE,109,Chievo,CHI,96,Lazio,LAZ,1,1,2.00749,0.74614,2016-09-11 17:00:00,0.7243,0.1838,0.0919
955,TRUE,111,AC Milan,MIL,99,Udinese,UDI,0,1,0.959858,0.507771,2016-09-11 17:00:00,0.4859,0.3471,0.167
956,TRUE,95,Roma,ROM,102,Sampdoria,SAM,3,2,3.61418,1.23572,2016-09-11 17:00:00,0.8604,0.0967,0.0429
957,TRUE,107,Atalanta,ATA,113,Torino,TOR,2,1,2.47685,0.648686,2016-09-11 17:00:00,0.8274,0.1199,0.0527
958,TRUE,114,Pescara,PES,106,Inter,INT,1,2,1.52585,1.70313,2016-09-11 22:45:00,0.3417,0.248,0.4103
959,TRUE,108,Empoli,EMP,115,Crotone,CRO,2,1,0.636904,0.521587,2016-09-12 22:45:00,0.3243,0.4175,0.2582
960,TRUE,102,Sampdoria,SAM,111,AC Milan,MIL,0,1,0.594515,0.782456,2016-09-16 22:45:00,0.2333,0.3774,0.3893
961,TRUE,96,Lazio,LAZ,114,Pescara,PES,3,0,3.04807,1.21293,2016-09-17 20:00:00,0.8015,0.1346,0.0639
962,TRUE,105,Napoli,NAP,97,Bologna,BOL,3,1,1.47652,0.312903,2016-09-17 22:45:00,0.6968,0.2324,0.0708
963,TRUE,99,Udinese,UDI,109,Chievo,CHI,1,2,0.753743,2.50145,2016-09-18 14:30:00,0.0492,0.1365,0.8143
964,TRUE,104,Sassuolo,SAS,101,Genoa,GEN,2,0,2.29731,1.40462,2016-09-18 17:00:00,0.6381,0.237,0.1249
965,TRUE,113,Torino,TOR,108,Empoli,EMP,0,0,0.718392,0.184549,2016-09-18 17:00:00,0.4829,0.4378,0.0793
