league,id,minute,result,x,y,x_g,player,h_a,player_id,situation,season,shot_type,match_id,home_team,away_team,home_goals,away_goals,date,player_assisted,last_action
Bundesliga,378393,3,Goal,0.835,0.45799999237060546,0.062296897172927856,Serge Gnabry,h,993,OpenPlay,2020,LeftFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,Joshua Kimmich,Chipped
Bundesliga,378394,4,BlockedShot,0.914000015258789,0.5659999847412109,0.46233803033828735,Robert Lewandowski,h,227,OpenPlay,2020,RightFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,Leroy Sané,Pass
Bundesliga,378395,5,MissedShots,0.9019999694824219,0.32799999237060545,0.04723776504397392,Jérôme Boateng,h,220,FromCorner,2020,LeftFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,NA,None
Bundesliga,378396,12,BlockedShot,0.8519999694824218,0.39599998474121095,0.09444613009691238,Robert Lewandowski,h,227,OpenPlay,2020,RightFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,Leroy Sané,Pass
Bundesliga,378398,18,Goal,0.8230000305175781,0.47,0.0719761848449707,Leon Goretzka,h,335,OpenPlay,2020,RightFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,Thomas Müller,Pass
Bundesliga,378399,20,MissedShots,0.860999984741211,0.4179999923706055,0.12052113562822342,Robert Lewandowski,h,227,OpenPlay,2020,LeftFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,Leroy Sané,Pass
Bundesliga,378400,23,SavedShot,0.9130000305175782,0.42700000762939455,0.5248051285743713,Joshua Kimmich,h,223,OpenPlay,2020,RightFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,Serge Gnabry,Pass
Bundesliga,378401,30,Goal,0.885,0.5,0.75777667760849,Robert Lewandowski,h,227,Penalty,2020,RightFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,NA,Standard
Bundesliga,378402,40,BlockedShot,0.86,0.4779999923706055,0.39614132046699524,Leon Goretzka,h,335,SetPiece,2020,RightFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,Serge Gnabry,Pass
Bundesliga,378403,40,ShotOnPost,0.8580000305175781,0.37099998474121093,0.04844699427485466,Niklas Süle,h,75,SetPiece,2020,RightFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,NA,Rebound
Bundesliga,378404,42,MissedShots,0.8680000305175781,0.6630000305175782,0.0715634822845459,Serge Gnabry,h,993,OpenPlay,2020,LeftFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,Thomas Müller,BallTouch
Bundesliga,378405,46,Goal,0.87,0.5940000152587891,0.30990850925445557,Serge Gnabry,h,993,OpenPlay,2020,LeftFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,Leroy Sané,Pass
Bundesliga,378407,58,Goal,0.904000015258789,0.585,0.36590665578842163,Serge Gnabry,h,993,OpenPlay,2020,RightFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,Leroy Sané,Pass
Bundesliga,378408,62,SavedShot,0.8919999694824219,0.53,0.49417462944984436,Corentin Tolisso,h,3603,OpenPlay,2020,LeftFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,Serge Gnabry,Pass
Bundesliga,378409,62,SavedShot,0.8219999694824218,0.3370000076293945,0.07277674973011017,Leroy Sané,h,337,OpenPlay,2020,LeftFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,Joshua Kimmich,Chipped
Bundesliga,378410,64,BlockedShot,0.855999984741211,0.6780000305175782,0.060697656124830246,Serge Gnabry,h,993,OpenPlay,2020,RightFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,Corentin Tolisso,Pass
Bundesliga,378411,67,MissedShots,0.9009999847412109,0.5520000076293945,0.057254254817962646,Corentin Tolisso,h,3603,FromCorner,2020,Head,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,Joshua Kimmich,Cross
Bundesliga,378412,68,Goal,0.875,0.5359999847412109,0.10886871069669724,Thomas Müller,h,224,OpenPlay,2020,LeftFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,Robert Lewandowski,Chipped
Bundesliga,378413,70,Goal,0.825,0.4759999847412109,0.3720955550670624,Leroy Sané,h,337,OpenPlay,2020,LeftFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,Joshua Kimmich,Throughball
Bundesliga,378415,80,Goal,0.8619999694824219,0.6040000152587891,0.10762665420770645,Jamal Musiala,h,8418,OpenPlay,2020,RightFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,Robert Lewandowski,Pass
Bundesliga,378416,83,MissedShots,0.6869999694824219,0.6120000076293945,0.033216677606105804,Joshua Kimmich,h,223,DirectFreekick,2020,RightFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,NA,Standard
Bundesliga,378391,0,SavedShot,0.8669999694824219,0.6980000305175781,0.03327920287847519,Gonçalo Paciência,a,7051,OpenPlay,2020,LeftFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,Amine Harit,Chipped
Bundesliga,378392,1,BlockedShot,0.7480000305175781,0.3220000076293945,0.014240225777029991,Sebastian Rudy,a,90,FromCorner,2020,RightFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,NA,None
Bundesliga,378397,12,MissedShots,0.850999984741211,0.3220000076293945,0.041157059371471405,Gonçalo Paciência,a,7051,OpenPlay,2020,LeftFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,Rabbi Matondo,Pass
Bundesliga,378406,53,BlockedShot,0.750999984741211,0.6309999847412109,0.01573016308248043,Bastian Oczipka,a,285,FromCorner,2020,LeftFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,NA,None
Bundesliga,378414,80,MissedShots,0.9630000305175781,0.3220000076293945,0.045343123376369476,Benito Raman,a,7059,OpenPlay,2020,RightFoot,14173,Bayern Munich,Schalke 04,8,0,2020-09-18 18:30:00,NA,None
Bundesliga,377353,8,MissedShots,0.7809999847412109,0.745,0.05003888159990311,Dominik Kohr,h,269,DirectFreekick,2020,RightFoot,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,NA,Standard
Bundesliga,377354,16,SavedShot,0.9230000305175782,0.45799999237060546,0.045705683529376984,Bas Dost,h,158,FromCorner,2020,Head,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Daichi Kamada,CornerAwarded
Bundesliga,377355,17,BlockedShot,0.7980000305175782,0.34200000762939453,0.026618950068950653,Danny da Costa,h,249,OpenPlay,2020,RightFoot,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,NA,None
Bundesliga,377356,20,SavedShot,0.745999984741211,0.37,0.015275825746357441,Sebastian Rode,h,228,FromCorner,2020,RightFoot,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,NA,None
Bundesliga,377357,21,MissedShots,0.9119999694824219,0.4329999923706055,0.09441360086202621,Danny da Costa,h,249,OpenPlay,2020,RightFoot,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Filip Kostic,Cross
Bundesliga,377359,25,BlockedShot,0.7080000305175781,0.6669999694824219,0.013252794742584229,Dominik Kohr,h,269,OpenPlay,2020,RightFoot,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Sebastian Rode,Pass
Bundesliga,377360,26,BlockedShot,0.965999984741211,0.40599998474121096,0.0669538676738739,David Abraham,h,283,FromCorner,2020,Head,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Daichi Kamada,Cross
Bundesliga,377361,31,SavedShot,0.9019999694824219,0.46599998474121096,0.7733567357063293,André Silva,h,6170,OpenPlay,2020,RightFoot,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Bas Dost,TakeOn
Bundesliga,377365,46,BlockedShot,0.855,0.4,0.04848869517445564,André Silva,h,6170,OpenPlay,2020,RightFoot,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Steven Zuber,Cross
Bundesliga,377366,47,ShotOnPost,0.9619999694824218,0.545,0.4868828356266022,Martin Hinteregger,h,2668,FromCorner,2020,Head,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Aymen Barkok,Cross
Bundesliga,377367,48,SavedShot,0.7519999694824219,0.4540000152587891,0.01921769045293331,Aymen Barkok,h,5235,OpenPlay,2020,RightFoot,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Filip Kostic,None
Bundesliga,377372,56,BlockedShot,0.7830000305175782,0.4159999847412109,0.03149230405688286,Daichi Kamada,h,6145,OpenPlay,2020,RightFoot,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Aymen Barkok,Pass
Bundesliga,377373,61,Goal,0.960999984741211,0.515,0.5061036348342896,André Silva,h,6170,OpenPlay,2020,Head,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Bas Dost,HeadPass
Bundesliga,377374,65,MissedShots,0.8880000305175781,0.4779999923706055,0.07450437545776367,Steven Zuber,h,254,OpenPlay,2020,Head,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Filip Kostic,Cross
Bundesliga,377375,71,MissedShots,0.8769999694824219,0.3890000152587891,0.09050608426332474,Daichi Kamada,h,6145,OpenPlay,2020,RightFoot,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Steven Zuber,Pass
Bundesliga,377378,83,MissedShots,0.8730000305175781,0.5059999847412109,0.04435320943593979,Bas Dost,h,158,OpenPlay,2020,Head,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Filip Kostic,Cross
Bundesliga,377379,83,SavedShot,0.895,0.6140000152587891,0.02015414647758007,Stefan Ilsanker,h,5242,FromCorner,2020,Head,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Daichi Kamada,Cross
Bundesliga,377380,89,MissedShots,0.9440000152587891,0.57,0.061965540051460266,Martin Hinteregger,h,2668,SetPiece,2020,Head,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Aymen Barkok,Aerial
Bundesliga,377358,24,MissedShots,0.7669999694824219,0.3629999923706055,0.022416194900870323,Manuel Prietl,a,8789,OpenPlay,2020,RightFoot,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,NA,Dispossessed
Bundesliga,377362,38,SavedShot,0.6990000152587891,0.5479999923706055,0.014662493951618671,Manuel Prietl,a,8789,OpenPlay,2020,RightFoot,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Marcel Hartel,Pass
Bundesliga,377363,42,BlockedShot,0.8530000305175781,0.5159999847412109,0.09564828127622604,Sergio Córdova,a,6096,OpenPlay,2020,RightFoot,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Ritsu Doan,Pass
Bundesliga,377364,42,MissedShots,0.725999984741211,0.5220000076293946,0.012948780320584774,Anderson-Lenda Lucoqui,a,8788,OpenPlay,2020,LeftFoot,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,NA,Rebound
Bundesliga,377368,49,MissedShots,0.749000015258789,0.48400001525878905,0.017451632767915726,Ritsu Doan,a,8791,OpenPlay,2020,LeftFoot,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Sergio Córdova,TakeOn
Bundesliga,377369,50,Goal,0.8809999847412109,0.3559999847412109,0.11617392301559448,Cebio Soukou,a,8790,OpenPlay,2020,RightFoot,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Sergio Córdova,Throughball
Bundesliga,377370,52,BlockedShot,0.88,0.37,0.07673380523920059,Fabian Klos,a,8792,OpenPlay,2020,RightFoot,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Stefan Ortega Moreno,Chipped
Bundesliga,377371,53,MissedShots,0.9490000152587891,0.62,0.032687921077013016,Amos Pieper,a,7320,FromCorner,2020,Head,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Ritsu Doan,Cross
Bundesliga,377376,74,SavedShot,0.7869999694824219,0.639000015258789,0.024877896532416344,Fabian Klos,a,8792,OpenPlay,2020,RightFoot,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,NA,None
Bundesliga,377377,76,MissedShots,0.9,0.46900001525878904,0.05427483841776848,Sergio Córdova,a,6096,OpenPlay,2020,Head,14174,Eintracht Frankfurt,Arminia Bielefeld,1,1,2020-09-19 13:30:00,Cédric Brunner,Pass
