league,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,home_team,away_team,home_goals,away_goals,date,player_assisted,lastAction
Bundesliga,425531,3,MissedShots,0.8219999694824218,0.4879999923706055,0.06582623720169067,Patrick Herrmann,h,420,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Alassane Pléa,Pass
Bundesliga,425532,9,Goal,0.8780000305175781,0.5570000076293945,0.3845338523387909,Alassane Pléa,h,3310,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Lars Stindl,Pass
Bundesliga,425535,22,MissedShots,0.9009999847412109,0.514000015258789,0.08137396723031998,Nico Elvedi,h,212,SetPiece,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,NA,None
Bundesliga,425538,29,MissedShots,0.7480000305175781,0.7130000305175781,0.018638793379068375,Lars Stindl,h,208,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,NA,BallRecovery
Bundesliga,425547,53,MissedShots,0.925,0.44299999237060544,0.08290912955999374,Stefan Lainer,h,7831,SetPiece,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Patrick Herrmann,Chipped
Bundesliga,425548,54,SavedShot,0.9259999847412109,0.28700000762939454,0.032129187136888504,Florian Neuhaus,h,7065,FromCorner,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Patrick Herrmann,Cross
Bundesliga,425553,69,SavedShot,0.805,0.5209999847412109,0.053122665733098984,Lars Stindl,h,208,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Marcus Thuram,BallTouch
Bundesliga,425554,70,SavedShot,0.8280000305175781,0.6229999923706054,0.03864584490656853,Hannes Wolf,h,8171,FromCorner,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Nico Elvedi,Pass
Bundesliga,425555,76,MissedShots,0.9440000152587891,0.509000015258789,0.5566394925117493,Marcus Thuram,h,5992,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Stefan Lainer,Cross
Bundesliga,425556,80,MissedShots,0.95,0.5320000076293945,0.6226253509521484,Lars Stindl,h,208,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Jonas Hofmann,Pass
Bundesliga,425561,89,BlockedShot,0.830999984741211,0.639000015258789,0.051320724189281464,Keanan Bennetts,h,7832,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,NA,BallRecovery
Bundesliga,425533,11,BlockedShot,0.874000015258789,0.5429999923706055,0.020128345116972923,Robert Lewandowski,a,227,OpenPlay,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Josip Stanisic,Aerial
Bundesliga,425534,13,SavedShot,0.85,0.44299999237060544,0.05120028927922249,Robert Lewandowski,a,227,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Leon Goretzka,HeadPass
Bundesliga,425536,25,SavedShot,0.9469999694824218,0.47200000762939454,0.5879690051078796,Robert Lewandowski,a,227,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Alphonso Davies,Throughball
Bundesliga,425537,26,MissedShots,0.8330000305175781,0.47,0.07023106515407562,Leroy Sané,a,337,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Alphonso Davies,Pass
Bundesliga,425539,31,BlockedShot,0.9159999847412109,0.485,0.047556713223457336,Leon Goretzka,a,335,FromCorner,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,NA,Aerial
Bundesliga,425540,36,SavedShot,0.9159999847412109,0.35700000762939454,0.29199498891830444,Josip Stanisic,a,9458,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Robert Lewandowski,Pass
Bundesliga,425541,36,SavedShot,0.9540000152587891,0.4179999923706055,0.12101253122091293,Josip Stanisic,a,9458,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,NA,Rebound
Bundesliga,425542,41,MissedShots,0.855999984741211,0.4259999847412109,0.06867692619562149,Josip Stanisic,a,9458,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Robert Lewandowski,Pass
Bundesliga,425543,41,Goal,0.9169999694824219,0.42900001525878906,0.22590681910514832,Robert Lewandowski,a,227,FromCorner,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,Cross
Bundesliga,425544,47,SavedShot,0.8019999694824219,0.32,0.012912072241306305,Leroy Sané,a,337,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,NA,Aerial
Bundesliga,425545,51,SavedShot,0.9159999847412109,0.5420000076293945,0.3319125771522522,Robert Lewandowski,a,227,OpenPlay,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Leroy Sané,Cross
Bundesliga,425546,52,MissedShots,0.8159999847412109,0.33799999237060546,0.028160762041807175,Leroy Sané,a,337,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,Chipped
Bundesliga,425549,57,SavedShot,0.9230000305175782,0.42900001525878906,0.4672015607357025,Alphonso Davies,a,7345,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Serge Gnabry,Aerial
Bundesliga,425550,59,SavedShot,0.9059999847412109,0.4929999923706055,0.09687963873147964,Robert Lewandowski,a,227,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,NA,None
Bundesliga,425551,60,MissedShots,0.919000015258789,0.505,0.11167085915803909,Serge Gnabry,a,993,FromCorner,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Niklas Süle,Cross
Bundesliga,425552,62,MissedShots,0.9209999847412109,0.3659999847412109,0.019538220018148422,Dayotchanculle Upamecano,a,5243,FromCorner,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,Cross
Bundesliga,425557,84,BlockedShot,0.955999984741211,0.5129999923706055,0.13664980232715607,Leon Goretzka,a,335,FromCorner,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,Cross
Bundesliga,425558,85,MissedShots,0.9130000305175782,0.485,0.042474519461393356,Dayotchanculle Upamecano,a,5243,FromCorner,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,BallTouch
Bundesliga,425559,86,MissedShots,0.855999984741211,0.33599998474121096,0.053393568843603134,Kingsley Coman,a,226,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Jamal Musiala,Pass
Bundesliga,425560,87,BlockedShot,0.87,0.3820000076293945,0.06547729671001434,Leon Goretzka,a,335,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,NA,None
