league,id,minute,result,x,y,x_g,player,h_a,player_id,situation,season,shot_type,match_id,home_team,away_team,home_goals,away_goals,date,player_assisted,last_action
Ligue_1,103038,4,MissedShots,0.6980000305175781,0.7569999694824219,0.009885101579129696,Sadio Diallo,h,3326,OpenPlay,2016,RightFoot,2249,SC Bastia,Paris Saint Germain,0,1,2016-08-12 22:00:00,NA,BallRecovery
Ligue_1,103039,6,MissedShots,0.87,0.6140000152587891,0.020547932013869286,Mehdi Mostefa,h,3324,SetPiece,2016,Head,2249,SC Bastia,Paris Saint Germain,0,1,2016-08-12 22:00:00,Sadio Diallo,Cross
Ligue_1,103040,7,MissedShots,0.765,0.534000015258789,0.02480568364262581,Sadio Diallo,h,3326,OpenPlay,2016,RightFoot,2249,SC Bastia,Paris Saint Germain,0,1,2016-08-12 22:00:00,NA,None
Ligue_1,103041,13,MissedShots,0.740999984741211,0.48400001525878905,0.023824062198400497,Sadio Diallo,h,3326,OpenPlay,2016,RightFoot,2249,SC Bastia,Paris Saint Germain,0,1,2016-08-12 22:00:00,Yannick Cahuzac,Pass
Ligue_1,103042,19,MissedShots,0.9269999694824219,0.46,0.3984200060367584,Enzo Crivelli,h,3260,OpenPlay,2016,RightFoot,2249,SC Bastia,Paris Saint Germain,0,1,2016-08-12 22:00:00,Allan Saint-Maximin,Cross
Ligue_1,103044,30,MissedShots,0.8019999694824219,0.664000015258789,0.08498269319534302,Sadio Diallo,h,3326,DirectFreekick,2016,RightFoot,2249,SC Bastia,Paris Saint Germain,0,1,2016-08-12 22:00:00,NA,Standard
Ligue_1,103045,36,MissedShots,0.77,0.215,0.010701070539653301,Allan Saint-Maximin,h,101,OpenPlay,2016,RightFoot,2249,SC Bastia,Paris Saint Germain,0,1,2016-08-12 22:00:00,Enzo Crivelli,TakeOn
Ligue_1,103047,41,MissedShots,0.9359999847412109,0.46700000762939453,0.1295982301235199,Sébastien Squillaci,h,3321,SetPiece,2016,Head,2249,SC Bastia,Paris Saint Germain,0,1,2016-08-12 22:00:00,Sadio Diallo,Cross
Ligue_1,103055,79,BlockedShot,0.9019999694824219,0.47900001525878905,0.09977219998836517,Alexander Djiku,h,3322,FromCorner,2016,LeftFoot,2249,SC Bastia,Paris Saint Germain,0,1,2016-08-12 22:00:00,NA,None
Ligue_1,103056,89,MissedShots,0.8040000152587891,0.6669999694824219,0.0258482713252306,Thievy,h,2554,OpenPlay,2016,LeftFoot,2249,SC Bastia,Paris Saint Germain,0,1,2016-08-12 22:00:00,NA,BallRecovery
Ligue_1,103043,28,SavedShot,0.815,0.26,0.023455822840332985,Ángel Di María,a,3553,OpenPlay,2016,LeftFoot,2249,SC Bastia,Paris Saint Germain,0,1,2016-08-12 22:00:00,Lucas Moura,Pass
Ligue_1,103046,37,SavedShot,0.7809999847412109,0.785,0.017739245668053627,Ángel Di María,a,3553,OpenPlay,2016,LeftFoot,2249,SC Bastia,Paris Saint Germain,0,1,2016-08-12 22:00:00,Layvin Kurzawa,Pass
Ligue_1,103048,49,SavedShot,0.889000015258789,0.6609999847412109,0.059331875294446945,Ángel Di María,a,3553,OpenPlay,2016,LeftFoot,2249,SC Bastia,Paris Saint Germain,0,1,2016-08-12 22:00:00,NA,None
Ligue_1,103049,55,SavedShot,0.715999984741211,0.5029999923706054,0.046560078859329224,David Luiz,a,1676,DirectFreekick,2016,RightFoot,2249,SC Bastia,Paris Saint Germain,0,1,2016-08-12 22:00:00,NA,Standard
Ligue_1,103050,64,MissedShots,0.855,0.3060000038146973,0.035773344337940216,Lucas Moura,a,3293,OpenPlay,2016,RightFoot,2249,SC Bastia,Paris Saint Germain,0,1,2016-08-12 22:00:00,Ángel Di María,Chipped
Ligue_1,103051,69,MissedShots,0.889000015258789,0.715,0.03680569678544998,Layvin Kurzawa,a,3298,FromCorner,2016,LeftFoot,2249,SC Bastia,Paris Saint Germain,0,1,2016-08-12 22:00:00,Lucas Moura,Pass
Ligue_1,103052,70,MissedShots,0.845,0.30700000762939456,0.03855473920702934,Serge Aurier,a,3600,OpenPlay,2016,LeftFoot,2249,SC Bastia,Paris Saint Germain,0,1,2016-08-12 22:00:00,Jesé,Pass
Ligue_1,103053,72,SavedShot,0.9519999694824218,0.700999984741211,0.11021403968334198,Jesé,a,2256,OpenPlay,2016,RightFoot,2249,SC Bastia,Paris Saint Germain,0,1,2016-08-12 22:00:00,Ángel Di María,Throughball
Ligue_1,103054,73,Goal,0.9119999694824219,0.610999984741211,0.3331725299358368,Layvin Kurzawa,a,3298,OpenPlay,2016,LeftFoot,2249,SC Bastia,Paris Saint Germain,0,1,2016-08-12 22:00:00,NA,Rebound
Ligue_1,103076,9,MissedShots,0.8859999847412109,0.5870000076293945,0.024069268256425858,Guido Carrillo,h,3424,OpenPlay,2016,Head,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,Benjamin Mendy,Aerial
Ligue_1,103078,26,MissedShots,0.94,0.5540000152587891,0.5445942878723145,Guido Carrillo,h,3424,OpenPlay,2016,RightFoot,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,Nabil Dirar,Pass
Ligue_1,103080,34,BlockedShot,0.6890000152587891,0.34200000762939453,0.009547525085508823,Tiemoué Bakayoko,h,3429,OpenPlay,2016,RightFoot,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,NA,None
Ligue_1,103082,42,MissedShots,0.735999984741211,0.31,0.010629844851791859,Nabil Dirar,h,3634,OpenPlay,2016,RightFoot,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,Fabinho,BallRecovery
Ligue_1,103083,44,MissedShots,0.8819999694824219,0.425,0.06739502400159836,Bernardo Silva,h,3635,OpenPlay,2016,LeftFoot,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,NA,None
Ligue_1,103084,47,BlockedShot,0.845999984741211,0.3270000076293945,0.05420316755771637,Fabinho,h,3420,OpenPlay,2016,RightFoot,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,Djibril Sidibe,Pass
Ligue_1,103085,48,MissedShots,0.7619999694824219,0.7269999694824218,0.012423760257661343,Benjamin Mendy,h,3389,OpenPlay,2016,LeftFoot,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,Guido Carrillo,Pass
Ligue_1,103087,57,BlockedShot,0.7580000305175781,0.35700000762939454,0.05883805453777313,Thomas Lemar,h,3425,DirectFreekick,2016,LeftFoot,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,NA,Standard
Ligue_1,103088,59,SavedShot,0.845999984741211,0.2670000076293945,0.02706993743777275,Bernardo Silva,h,3635,OpenPlay,2016,LeftFoot,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,Fabinho,Pass
Ligue_1,103089,67,SavedShot,0.9009999847412109,0.5309999847412109,0.06383253633975983,Kamil Glik,h,1800,FromCorner,2016,Head,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,Thomas Lemar,Cross
Ligue_1,103090,70,Goal,0.885,0.5,0.7600951194763184,Fabinho,h,3420,Penalty,2016,RightFoot,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,NA,Standard
Ligue_1,103091,72,BlockedShot,0.9080000305175782,0.33299999237060546,0.05741872265934944,Djibril Sidibe,h,3357,OpenPlay,2016,RightFoot,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,Nabil Dirar,Pass
Ligue_1,103093,76,MissedShots,0.765,0.610999984741211,0.06949112564325333,Djibril Sidibe,h,3357,DirectFreekick,2016,RightFoot,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,NA,Standard
Ligue_1,103095,81,BlockedShot,0.8669999694824219,0.38599998474121094,0.06098833680152893,Bernardo Silva,h,3635,OpenPlay,2016,LeftFoot,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,Djibril Sidibe,Chipped
Ligue_1,103096,81,MissedShots,0.9080000305175782,0.49,0.038596346974372864,Guido Carrillo,h,3424,OpenPlay,2016,Head,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,Djibril Sidibe,Aerial
Ligue_1,103097,82,BlockedShot,0.8040000152587891,0.629000015258789,0.04467466473579407,Ivan Cavaleiro,h,3683,OpenPlay,2016,RightFoot,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,Djibril Sidibe,TakeOn
Ligue_1,103098,83,Goal,0.8930000305175781,0.475,0.4525910019874573,Bernardo Silva,h,3635,OpenPlay,2016,LeftFoot,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,Nabil Dirar,Pass
Ligue_1,103099,90,MissedShots,0.950999984741211,0.4209999847412109,0.13994742929935455,Ivan Cavaleiro,h,3683,OpenPlay,2016,RightFoot,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,Nabil Dirar,Pass
Ligue_1,103073,6,SavedShot,0.9230000305175782,0.47900001525878905,0.05127976834774017,Sloan Privat,a,3478,FromCorner,2016,Head,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,Yannis Salibur,Aerial
Ligue_1,103074,6,MissedShots,0.7230000305175781,0.36,0.014023791998624802,Yannis Salibur,a,3473,OpenPlay,2016,LeftFoot,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,Marcus Coco,LayOff
Ligue_1,103075,8,SavedShot,0.87,0.48,0.08296065777540207,Jimmy Briand,a,3477,OpenPlay,2016,RightFoot,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,NA,None
Ligue_1,103077,19,MissedShots,0.7240000152587891,0.73,0.03368840739130974,Yannis Salibur,a,3473,DirectFreekick,2016,LeftFoot,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,NA,Standard
Ligue_1,103079,28,Goal,0.7930000305175782,0.5840000152587891,0.035331934690475464,Moustapha Diallo,a,3575,OpenPlay,2016,RightFoot,2250,Monaco,Guingamp,2,2,2016-08-12 22:30:00,NA,None
